,"Ordenamiento y planeación territorial sustentable (uso mixto del suelo, densificación acorde a la capacidad de carga del territorio)","Edificaciones sustentables (Ecotecnias, diseño y materiales sustentables)",Acciones para una industria limpia (producción y circulación sustentable y responsabilidad extendida),"Movilidad sustentable (masiva, pública y crecientemente no motorizada, además de la regulación del transporte de carga)",Eficiencia energética y fomento a las energías renovables ,Infraestructura verde-azul para la adaptación al cambio climático,Bienes ambientales - áreas verdes / adaptación urbana basada en ecosistemas,Mitigación de la emisión de contaminantes atmosféricos / mejora de la calidad del aire (acciones para..),"Gestión sustentable de residuos (RSU, especiales y peligrosos; incluye la cogeneración de energía)",Mejora de la resiliencia urbana (biofísica y social del espacio urbano),Fomento de la economía circular (enfoque de ciclo de vida) y de mercados locales-regionales (proporción de actividades económicas y empleos “verdes”),Reducción de la pobreza y mejora de la calidad de vida (acciones para…),"Financiamiento para acciones y proyectos en sustentabilidad urbana (local, estatal, nacional e internacional)",Acciones de educación para el cambio climático y difusión para la sustentabilidad,"Aumento en la participación social en el avance hacia la sustentabilidad, incluyente y justa",Salud,Gestión de riesgo de desastres y reducción de la vulnerabilidad al cambio climático,Existencia de un presupuesto climático y seguros contra riesgos hidro-meteorológicos,Combate a la corrupción / aumento de la rendición de cuentas,"Construcción de capacidades para la sustentabilidad urbana con perspectiva de género (incluye capacidades institucionales, empresariales y sociales)",Fortalecimiento de la gobernanza del cambio climático
Ordenamiento territorial y planeaci�n urbana sustentable ,None,+++,+,+++,+++,+,++,+++,+,+++,++,+,0,0,+,None,+++,0,+,+,None
"Edificaciones sustentables (Ecotecnias, dise�o y materiales sustentables)",++,None,+,0,+++,+,+,+,++,++,0,+++,0,+,+,++,+,0,0,+,+
Industria limpia (produccion y circulacion sustentable),+,+,None,+,+++,+,+,+++,+++,++,+++,+,+,+,0,+,+,0,0,0,+
Movilidad sustentable ,+++,0,+,None,+++,+,+,+++,+++,++,0,++,0,+,+,+++,+,0,0,+,++
Eficiencia energetica y fomento a las energias renovables ,+,+++,+++,+++,None,+,0,+++,++,--,+++,0,0,+,0,+++,+,0,0,0,++
Infraestructura verde-azul para la adaptacion al cambio clima�tico,++,+,+,0,0,None,+++,0,0,+,0,+,0,+,+,+,+++,0,0,+,+++
Conservaci�n ambiental y adaptacion urbana basada en ecosistemas,++,+,0,0,0,0,None,++,0,++,0,+,0,+,+,+,+++,0,0,+,+++
Mitigacion de gases efecto invernadero y mejora de la calidad del aire ,0,0,0,0,+++,0,0,None,0,+,0,+++,0,+,+,++,0,0,0,+,+++
Gestion sustentable de residuos y cogeneracion de energia,0,++,+++,0,+,0,+,+,None,++,+++,+,0,+,+,+++,++,0,0,+,+
Fomento a la resiliencia urbana ,+++,++,+,++,--,++,+++,0,++,None,+,++,0,+,+,0,+++,0,0,+,++
Economia circular y mercados locales-regionales ,+,++,++,++,+++,0,0,++,+++,+++,None,++,+,+,++,++,0,0,0,++,+
Reduccion de la pobreza y de la vulnerabilidad al cambio clim�tico,0,++,+,+,+++,+,+,0,0,+++,+,None,0,+,+,0,+++,0,0,+,+
Financiamiento para la sustentabilidad urbana ,+++,+++,+++,+++,+++,+++,+++,+++,+++,+++,+++,++,None,+++,+++,+++,+++,0,0,+++,+++
Acciones de educacion para el cambio climatico y difusion para la sustentabilidad,0,0,0,0,0,+,+,0,0,+++,0,+++,+,None,+,++,+,0,+,+,+++
"Participacion social en el avance hacia la sustentabilidad, incluyente y justa",++,++,++,++,++,++,+,0,++,+++,++,+++,0,+++,None,0,+++,+,0,++,+++
Mejoramiento de la salud p�blica ,0,0,0,0,0,0,0,0,0,+++,0,+++,0,+,+,None,0,0,0,+,0
Gestion de riesgo de desastres y reduccion de la vulnerabilidad al cambio climatico,++,++,+,0,0,+,++,0,+,+++,0,++,+,++,+++,+++,None,0,+,+++,+++
Presupuesto climtico y seguros contra riesgos hidro-meteorologicos,+,+++,++,+++,+++,+++,+++,+++,+++,++,+,+,+,+++,+++,+,+++,None,0,+++,+++
Combate a la corrupcion y rendicion de cuentas,++,0,+,0,0,0,0,0,0,++,0,++,++,0,0,0,+,+,None,0,+++
Construccion de capacidades para sustentabilidad urbana con perspectiva de genero ,++,++,++,++,++,++,+,0,++,+++,++,+++,0,+++,+++,0,+++,+,0,None,+++
Fortalecimiento de la gobernanza del cambio climatico,+++,0,+,++,+++,+++,+++,+++,0,+++,+++,++,+++,+++,+++,0,+++,+++,+++,+++,None
